Row Country Group PPGDP LifeExp
1 Albania other 8.2099068719896 75.31
2 Anguilla other 9.52880137579554 79.19
3 Argentina other 9.12283068903458 77.72
4 Armenia other 8.016548894924 74.54
5 Aruba other 10.036772039682 79.8
6 Australia oecd 10.952890339125 83.37
7 Austria oecd 10.7179404457228 81.96
8 Azerbaijan other 8.63721372201281 74.46
9 Bahamas other 10.0195624635112 79.22
10 Bahrain other 9.80830286485734 80.98
11 Bangladesh other 6.50787454916787 71.41
12 Barbados other 9.58171770417346 79.31
13 Belarus other 8.64857226947262 76.6
14 Belgium oecd 10.6877269388327 83.57
15 Belize other 8.41089890659832 75.76
16 Benin africa 6.60813556895731 60.72
17 Bermuda other 11.4363111237267 83.43
18 Bhutan other 7.62422828484558 73.62
19 Bolivia other 7.58979095478736 71.67
20 Bosnia other 8.40686480072065 76.54
21 Brazil other 9.27945590260686 76.25
22 Brunei other 10.3935266251115 79.46
23 Bulgaria other 8.75858522178718 76.73
24 Burkina africa 6.2532517220144 54.65
25 Burundi africa 5.17388728816986 53.93
26 Cambodia other 6.68110558833864 70.83
27 Cameroon africa 7.09556176600666 59.86
28 Canada oecd 10.7442117105526 85.62
29 CaymanIslands other 10.9516465447968 82.38
30 CentralAfricanRepublic africa 6.11102378216562 56.64
31 Chad africa 6.58947653255289 56.36
32 Chile oecd 9.38325953110749 80.86
33 China other 8.37885024179449 73.8
34 Colombia other 8.73597524521297 77.2
35 Comoros africa 6.60204500401097 57.39
36 Congo africa 7.88799685934812 60.93
37 CookIslands other 9.41018254248813 78.87
38 CostaRica other 8.949468992601 75.86
39 CotedIvoire africa 7.05107609842636 58.4
40 Croatia other 9.5338359172171 79.2
41 Cuba other 8.64899308586261 75.46
42 Cyprus other 10.2528865911554 81.2
43 CzechRepublic oecd 9.84367385183427 81.77
44 DemocraticRepublicCongo africa 5.30131287552784 52.15
45 Denmark oecd 10.9300702206014 81.62
46 Djibouti africa 7.15664454671476 59.76
47 Dominica other 8.85663245064086 77.68
48 DominicanRepublic other 8.55552889768181 72.79
49 EastTimor other 6.5597568705223 70.11
50 Ecuador other 8.31203689511641 73.76
51 ElSalvador other 8.13903191783542 74.02
52 Eritrea africa 6.06168999199748 55.42
53 Estonia oecd 9.55643756827699 79.74
54 Ethiopia africa 5.78259365508049 56.92
55 Fiji other 8.17349088068631 72.53
56 Finland oecd 10.7032826696718 82.43
57 France oecd 10.5852173015768 82.45
58 FrenchPolynesia other 10.113302673639 80.28
59 Gabon africa 9.4309848030893 66.67
60 Gambia africa 6.36147517423174 57.62
61 Georgia other 7.89368400753856 74.76
62 Germany oecd 10.5930558364788 81.97
63 Ghana africa 7.19533734643358 60.05
64 Greece oecd 10.1850433979205 81.84
65 Greenland other 10.4714314226687 82.87
66 Grenada other 8.91314653915181 74.48
67 Guatemala other 7.96634386552093 73.3
68 Guinea africa 6.05795428837681 56.23
69 GuineaBissau africa 6.29045741070563 57.2
70 Guyana other 8.00503334463711 74.8
71 Haiti other 6.41787541973161 68.14
72 Honduras other 7.61391739661958 72.92
73 HongKong other 10.3679665742017 80.69
74 Hungary oecd 9.46374151045109 79.71
75 Iceland other 10.5784198446752 81.17
76 India other 7.24878852693091 73.44
77 Indonesia other 7.98932313304099 73.15
78 Iran other 8.56161190996286 76.18
79 Iraq other 6.78953464759471 70.51
80 Ireland oecd 10.741174374504 82.76
81 Israel oecd 10.2857386210925 81.08
82 Italy oecd 10.4304945488805 83.02
83 Jamaica other 8.49678638163858 74.55
84 Japan oecd 10.6722267820343 83.88
85 Jordan other 8.39960263723411 75.28
86 Kazakhstan other 9.12333263134358 76.31
87 Kenya africa 6.68685920020841 57.08
88 Kiribati other 7.29179243967668 74.07
89 Kuwait other 10.7239367634693 82.18
90 Kyrgyzstan other 6.76319182779078 71.83
91 Laos other 6.95425711263356 72.62
92 Latvia other 9.27453508401818 78.97
93 Lebanon other 9.13601545321432 76.09
94 Liberia africa 5.38724357574244 56.67
95 Lithuania other 9.30342079499219 77.49
96 Luxembourg oecd 11.5626237880671 84.98
97 Macao other 10.8195822651998 80.44
98 Malawi africa 5.87885560272533 57.34
99 Malaysia other 9.03274363561794 76.85
100 Maldives other 8.45201446539124 74.44
101 Mali africa 6.39492765254547 56.97
102 Malta other 9.88324402805907 79.07
103 MarshallIslands other 8.02923738174099 76.44
104 Mauritania africa 7.03094588953734 58.67
105 Mexico oecd 9.11610661262344 78.94
106 Micronesia other 7.89290020606147 73.54
107 Moldova other 7.39375528131247 70.99
108 Mongolia other 7.71721775192343 72.9
109 Montenegro other 8.78106401276448 76.67
110 Mozambique africa 6.01004093268092 53.97
111 Myanmar other 6.7755943753798 70.57
112 Namibia africa 8.54182726570791 62.61
113 Nepal other 6.28170584195469 67.93
114 NethAntilles other 9.9194150340855 81.19
115 Netherlands oecd 10.7559797560772 83.4
116 NewCaledonia other 10.4721904983323 80.41
117 NewZealand oecd 10.3850522197002 82.2
118 Nicaragua other 7.03165291563837 71.35
119 Niger africa 5.87969464626497 55.04
120 Nigeria africa 7.12270535526782 59.28
121 NorthKorea other 6.22257626807137 68.34
122 Norway oecd 11.3455559669331 84.64
123 Oman other 9.94227547974339 79.35
124 Pakistan other 6.91095016987866 70.87
125 Palau other 9.28931789715961 78.75
126 PalestinianTerritory other 7.50631701705221 70.81
127 Panama other 8.93774393694244 77.05
128 PapuaNewGuinea other 7.26431021572029 71.15
129 Paraguay other 7.92699963226667 73.38
130 Peru other 8.59613375348884 77.03
131 Philippines other 7.6686078358961 72.39
132 Poland oecd 9.4143581868519 80.18
133 Portugal oecd 9.97290166862045 81.51
134 PuertoRico other 10.1834272298497 79.6
135 Qatar other 11.1899325724283 84.81
136 RepublicOfKorea other 9.95476034671355 78.6
137 Romania other 8.92564051496287 74.72
138 Russia other 9.24487705524642 76.54
139 Rwanda africa 6.27720724017871 57.66
140 SaintLucia other 8.8064390405317 77.16
141 Samoa other 8.11471362214844 73.98
142 SaoTome africa 7.15719016425041 58.64
143 SaudiArabia other 9.67003479348014 78.73
144 Senegal africa 6.93993201067736 57.44
145 Serbia other 8.5415345228024 75.4
146 SierraLeone africa 5.86277853947994 55.16
147 Singapore other 10.6870031771584 82.16
148 Slovakia oecd 9.67884287509565 82.53
149 Slovenia oecd 10.0480120489688 81.56
150 SolomonIslands other 7.08464544577888 71.39
151 Somalia africa 4.74319148388547 51.86
152 Spain other 10.3268842576086 81.98
153 SriLanka other 7.77287902428105 73.5
154 StVincentGrenadines other 8.72772960569121 76.64
155 Sudan africa 7.50928046999477 60.65
156 Suriname other 8.85623355614316 77.46
157 Sweden oecd 10.7976594567919 83.04
158 Switzerland oecd 11.1401240426979 84.48
159 Syria other 7.98326951640427 72.95
160 Tajikistan other 6.70441435496411 70.38
161 Tanzania africa 6.24610676548156 57.92
162 Macedonia other 8.39717014881651 74.55
163 Thailand other 8.43659032688414 74.62
164 Togo africa 6.26263606743277 55.44
165 Tonga other 8.17275732913552 75.29
166 TrinidadandTobago other 9.62938617687379 80.22
167 Turkey oecd 9.21980543659188 81.41
168 Turkmenistan other 8.43109049236283 75.68
169 Tuvalu other 8.06689806739028 72.83
170 Uganda africa 6.23244801655052 54.83
171 Ukraine other 8.0179667034936 72.84
172 UnitedArabEmirates other 10.587207940173 81.42
173 UnitedKingdom oecd 10.5003110398605 82.36
174 UnitedStates oecd 10.74819420149 82.19
175 Uruguay other 9.38868737401473 78
176 Uzbekistan other 7.26353982663572 71.24
177 Vanuatu other 7.99412628122789 73.66
178 Venezuela other 9.51064494442919 78.98
179 Vietnam other 7.07555523925707 68.5
180 Yemen other 7.27045205523936 71.75
181 Zimbabwe africa 6.35106022155769 57.27
