Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4,DSCI
2025-04-08,4.20,95.80,76.03,38.82,4.29,0.00,215
2025-04-01,4.20,95.80,75.76,39.34,4.27,0.00,215
2025-03-25,2.02,97.98,77.25,39.33,4.26,0.00,219
2025-03-18,1.94,98.06,77.67,39.33,4.26,0.00,219
2025-03-11,0.23,99.77,77.67,39.33,4.26,0.00,221
2025-03-04,0.13,99.87,77.82,39.33,4.26,0.00,221
2025-02-25,0.13,99.87,77.20,24.04,4.26,0.00,205
2025-02-18,0.00,100.00,77.20,24.04,4.26,0.00,206
2025-02-11,0.00,100.00,77.20,21.19,4.26,0.00,203
2025-02-04,1.26,98.74,65.60,7.92,4.26,0.00,177
2025-01-28,4.74,95.26,40.49,7.63,0.00,0.00,143
2025-01-21,10.74,89.26,20.73,4.94,0.00,0.00,115
2025-01-14,10.74,89.26,20.14,1.56,0.00,0.00,111
2025-01-07,10.74,89.26,17.17,1.56,0.00,0.00,108
2024-12-31,11.78,88.22,20.77,1.56,0.00,0.00,111
2024-12-24,14.17,85.83,19.50,1.56,0.00,0.00,107
2024-12-17,15.42,84.58,18.17,1.56,0.00,0.00,104
2024-12-10,15.46,84.54,18.91,1.56,0.00,0.00,105
2024-12-03,15.46,84.54,18.91,1.56,0.00,0.00,105
2024-11-26,2.60,97.40,19.20,1.56,0.00,0.00,118
2024-11-19,2.60,97.40,19.20,1.56,0.00,0.00,118
2024-11-12,2.63,97.37,19.19,1.56,0.00,0.00,118
2024-11-05,2.61,97.39,19.35,1.56,0.00,0.00,118
2024-10-29,3.90,96.10,19.35,1.56,0.00,0.00,117
2024-10-22,3.93,96.07,19.47,1.56,0.00,0.00,117
2024-10-15,2.91,97.09,24.33,1.56,0.00,0.00,123
2024-10-08,10.72,89.28,13.32,1.56,0.00,0.00,104
2024-10-01,18.31,81.69,9.48,0.00,0.00,0.00,91
2024-09-24,21.40,78.60,9.48,0.00,0.00,0.00,88
2024-09-17,21.43,78.57,9.48,0.00,0.00,0.00,88
2024-09-10,21.43,78.57,9.48,0.00,0.00,0.00,88
2024-09-03,14.82,85.18,9.48,0.00,0.00,0.00,95
2024-08-27,10.22,89.78,4.71,0.00,0.00,0.00,94
2024-08-20,10.30,89.70,4.71,0.00,0.00,0.00,94
2024-08-13,10.60,89.40,7.26,0.00,0.00,0.00,97
2024-08-06,10.64,89.36,7.62,0.00,0.00,0.00,97
2024-07-30,40.95,59.05,4.68,0.00,0.00,0.00,64
2024-07-23,45.29,54.71,4.68,0.00,0.00,0.00,59
2024-07-16,46.91,53.09,0.00,0.00,0.00,0.00,53
2024-07-09,66.93,33.07,0.00,0.00,0.00,0.00,33
2024-07-02,74.02,25.98,0.00,0.00,0.00,0.00,26
2024-06-25,75.47,24.53,0.65,0.00,0.00,0.00,25
2024-06-18,75.47,24.53,0.89,0.00,0.00,0.00,25
2024-06-11,76.18,23.82,0.82,0.00,0.00,0.00,25
2024-06-04,76.08,23.92,0.40,0.00,0.00,0.00,24
2024-05-28,75.45,24.55,0.40,0.00,0.00,0.00,25
2024-05-21,75.45,24.55,0.40,0.00,0.00,0.00,25
2024-05-14,75.45,24.55,0.21,0.00,0.00,0.00,25
2024-05-07,75.45,24.55,1.59,0.00,0.00,0.00,26
2024-04-30,75.45,24.55,1.59,0.00,0.00,0.00,26
2024-04-23,74.40,25.60,3.36,0.00,0.00,0.00,29
2024-04-16,74.38,25.62,3.36,0.00,0.00,0.00,29
2024-04-09,74.38,25.62,3.36,0.00,0.00,0.00,29
2024-04-02,74.38,25.62,3.36,0.00,0.00,0.00,29
